id;time;change;insert_time;fk_measurement_station_id
41142;2022-05-09 09:54:51.292607 +00:00;-1;2022-05-09 09:54:51.615624 +00:00;2
41143;2022-05-09 09:55:22.599550 +00:00;1;2022-05-09 09:55:22.796911 +00:00;2
41144;2022-05-09 09:55:33.106050 +00:00;-1;2022-05-09 09:55:33.373176 +00:00;2
41145;2022-05-09 09:55:38.444878 +00:00;-1;2022-05-09 09:55:38.637684 +00:00;2
41146;2022-05-09 09:55:51.549158 +00:00;1;2022-05-09 09:55:51.738907 +00:00;2
41147;2022-05-09 09:55:56.529103 +00:00;-1;2022-05-09 09:55:56.814261 +00:00;2
41148;2022-05-09 09:56:01.876548 +00:00;-1;2022-05-09 09:56:02.079409 +00:00;2
41149;2022-05-09 09:56:02.454469 +00:00;1;2022-05-09 09:56:02.815573 +00:00;2
41150;2022-05-09 09:56:02.775500 +00:00;1;2022-05-09 09:56:02.979033 +00:00;2
41151;2022-05-09 09:56:23.517160 +00:00;-1;2022-05-09 09:56:23.927527 +00:00;2
41152;2022-05-09 09:56:34.489275 +00:00;1;2022-05-09 09:56:34.867955 +00:00;2
41153;2022-05-09 09:56:44.185149 +00:00;-1;2022-05-09 09:56:44.394790 +00:00;2
41154;2022-05-09 09:56:51.443621 +00:00;1;2022-05-09 09:56:51.718867 +00:00;2
41155;2022-05-09 09:56:55.483840 +00:00;1;2022-05-09 09:56:57.041744 +00:00;2
41156;2022-05-09 09:57:12.180011 +00:00;1;2022-05-09 09:57:12.403302 +00:00;6
41157;2022-05-09 09:57:17.977094 +00:00;1;2022-05-09 09:57:18.905121 +00:00;2
41158;2022-05-09 09:57:24.563198 +00:00;-1;2022-05-09 09:57:24.775488 +00:00;2
41159;2022-05-09 09:57:24.952364 +00:00;1;2022-05-09 09:57:25.144974 +00:00;2
41160;2022-05-09 09:57:30.959407 +00:00;-1;2022-05-09 09:57:31.266791 +00:00;2
41161;2022-05-09 09:57:35.020652 +00:00;1;2022-05-09 09:57:35.287149 +00:00;2
41162;2022-05-09 09:57:50.186248 +00:00;1;2022-05-09 09:57:50.353639 +00:00;6
41163;2022-05-09 09:57:58.289685 +00:00;-1;2022-05-09 09:57:58.709286 +00:00;2
41164;2022-05-09 09:57:59.409208 +00:00;-1;2022-05-09 09:57:59.685208 +00:00;2
41165;2022-05-09 09:58:12.931734 +00:00;-1;2022-05-09 09:58:13.137409 +00:00;6
41166;2022-05-09 09:58:25.501076 +00:00;1;2022-05-09 09:58:25.679215 +00:00;2
41167;2022-05-09 09:58:32.991583 +00:00;1;2022-05-09 09:58:33.189478 +00:00;2
41168;2022-05-09 09:58:51.502051 +00:00;-1;2022-05-09 09:58:51.808753 +00:00;2
